stress,policy,joint_incremental_value_MEUR,client_incremental_MEUR,bilfinger_net_MEUR,fee_total_MEUR,pv_opex_MEUR,pv_capex_MEUR,pv_loss_MEUR,mean_availability,mean_reported_availability,p_any_event,events_per_path,final_health,final_backlog,final_debt,final_competence,cost_first12_MEUR,cost_last12_MEUR,p_joint_negative
none,P0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[12.036434551910363, 10.367596431873867, 14.424965401712564]","[1.1206715995568817, 0.0, 4.583192580443989]","[0.22957275725012527, 0.0, 1.237461996719877]",0.8667925541176692,0.8667780041081912,0.157,0.1815,0.7045352003096165,2.7187842815061094,0.33101913420278445,0.5499999999999964,2.7551,3.586196,0.0
none,P1,"[-23.450083101998942, -29.952746173241014, -14.826094570529573]","[-29.52820854355576, -36.10731702875885, -20.50262889056599]","[6.078125441556809, 5.687827964886338, 6.228920187391979]","[14.991381798250162, 14.989296046082698, 14.99348615934839]","[7.14178035559803, 6.988899857595396, 7.530918880816604]","[3.5024497245594928, 0.0, 4.824481105030977]","[1.1164456709631094, 0.0, 2.687708783285578]",0.7525990093025143,0.7525844592930363,0.5715,0.9525,0.37921764446172823,23.538647073906716,4.22241301357243,0.5199999999999997,1.789121,3.074047,1.0
none,P2,"[2.595104648529649, -3.468676619731411, 7.705852371109025]","[1.6387005339782545, -4.3197341995969865, 7.615280259282038]","[0.9564041145513933, -0.8172458141728405, 2.663030551070828]","[18.572947927975918, 16.430429391975025, 20.338159787544853]","[15.8450678123292, 13.903546612095107, 18.681759029218036]","[0.48367986036003635, 0.0, 0.0]","[0.05782800332430308, 0.0, 0.0]",0.9059763153039325,0.9059667561420968,0.04,0.04,0.9020084898759907,1.325771716541978,0.0012793880306222884,0.6099999999999965,4.448347638908517,3.6180898076998047,0.288
latent_debt,P0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[12.036434551910363, 10.367596431873867, 14.424965401712564]","[1.1206715995568817, 0.0, 4.583192580443989]","[0.8827100434788933, 0.0, 2.564706304764685]",0.8657645541176692,0.8657500041081913,0.4675,0.6955,0.7045352003096165,2.7187842815061094,0.33101913420278445,0.5499999999999964,2.7551,3.586196,0.0
latent_debt,P1,"[-26.468679321887322, -34.12206248595476, -17.46490078849683]","[-32.54669748930901, -40.329263061738054, -23.188980916910438]","[6.0780181674216855, 5.687827964886338, 6.228920187391979]","[14.991274524115038, 14.989296046082698, 14.993365438901417]","[7.14178035559803, 6.988899857595396, 7.530918880816604]","[3.5024497245594928, 0.0, 4.824481105030977]","[4.012416026028959, 1.0340537347888756, 8.109543465228976]",0.7476820093025143,0.7476674592930362,0.9085,3.411,0.37921764446172823,23.538647073906716,4.22241301357243,0.5199999999999997,1.789121,3.074047,1.0
latent_debt,P2,"[3.271541997241021, -2.968968664464266, 8.912426382081494]","[2.2408039715146812, -3.7836143112234355, 8.434846568974187]","[1.0307380257263379, -0.7343038361979194, 2.7439355150770655]","[18.647281839150864, 16.464930152649732, 20.43834569278849]","[15.8450678123292, 13.903546612095107, 18.681759029218036]","[0.48367986036003635, 0.0, 0.0]","[0.2077864911192321, 0.0, 1.4167811791917349]",0.9057683153039324,0.9057587561420968,0.1345,0.144,0.9020084898759907,1.325771716541978,0.0012793880306222884,0.6099999999999965,4.448347638908517,3.6180898076998047,0.267
capex_delay,P0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[12.067853083670139, 10.367596431873867, 14.424965401712564]","[0.6422257056280191, 0.0, 4.243696833744435]","[0.23773495239386236, 0.0, 1.237461996719877]",0.8639075878073694,0.8638930377978913,0.161,0.189,0.6782036020718283,2.9070471915227727,0.38151978430425365,0.5499999999999964,2.7551,3.635188,0.0
capex_delay,P1,"[-23.8510745277006, -30.300177128775147, -15.251454437446876]","[-29.92867596356455, -36.476022933125414, -21.201159119729198]","[6.077601435863941, 5.687827964886338, 6.228920187391979]","[14.990607209577115, 14.989296046082698, 14.993156668982163]","[7.141529772617852, 6.988899857595396, 7.530918880816604]","[2.322101909658636, 0.0, 4.467112134287942]","[1.1789568525716108, 0.0, 3.231884886672202]",0.7440987646659628,0.7440842146564848,0.5855,1.0105,0.321164509805358,24.64453098413449,4.806812633426036,0.5199999999999997,1.789121,4.012717,1.0
capex_delay,P2,"[2.5555835824522077, -3.468676619731411, 8.015945827447785]","[1.4737663942440058, -4.348290327246749, 7.146177359879167]","[1.0818171882082004, -0.5379276224617646, 2.705541062857493]","[18.73390325573299, 16.430429391975025, 20.682923751206353]","[15.880610066429465, 13.903546612095107, 18.807843833182588]","[0.3722663792013751, 0.0, 0.0]","[0.058442778838493824, 0.0, 0.0]",0.9048659284196942,0.9048563692578583,0.0405,0.0405,0.8998023128206444,1.359162388853794,0.0014259732700772293,0.6099999999999965,4.448347638908517,3.6078322151297337,0.2935
skills_shortage,P0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[12.77129795960174, 10.676056155773436, 14.502140733981792]","[1.7310384777067356, 0.0, 4.583192580443989]","[0.3098080962904975, 0.0, 1.2696181495905046]",0.8476135952677936,0.8475990452583155,0.2145,0.255,0.594910673546725,7.068000187255989,0.9312819523609894,0.05000000000000001,2.7551,4.722528,0.0
